ERROR:root:Failed to update Gist with file 'modules/interfaces.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/interfaces.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/config_manager.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/config_manager.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/logger_impl.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/logger_impl.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/db_connector.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/db_connector.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/di_container.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/di_container.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/plugin_manager.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/plugin_manager.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/rename_log_file.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/rename_log_file.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/generate_dummy_csv.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/generate_dummy_csv.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/generate_dummy_json.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/generate_dummy_json.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/ast_transformer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/ast_transformer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/test_ast_transformer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/test_ast_transformer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/data_visualizer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/data_visualizer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/statistical_test_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/statistical_test_analyzer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/regression_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/regression_analyzer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/anova_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/anova_analyzer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/clustering_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/clustering_analyzer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/time_series_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'modules/time_series_analyzer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'main.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'main.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'update_gist.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9 f4c07c9e64be444d56f0', '--add', 'update_gist.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/statistical_test_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9f4c07c9e64be444d56f0', '--add', 'modules/statistical_test_analyzer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/regression_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9f4c07c9e64be444d56f0', '--add', 'modules/regression_analyzer.py']' returned non-zero exit status 1.
ERROR:root:Failed to update Gist with file 'modules/regression_analyzer.py': Command '['gh', 'gist', 'edit', '53df2f17c3c9f4c07c9e64be444d56f0', '--add', 'modules/regression_analyzer.py']' returned non-zero exit status 1.
